
===== Sheet: 典型面积配置 (24x8) =====
序号 | 设备类型 | 设备名称 | 设备功能描述 | 单位 | 300平米配置 | 1000平米配置 | 2000平米配置
12.0 |  | 智能调光模块（0-10V） | 智能调光模块（0-10V）通过将Zigbee信号转换为0-10V信号，可以实现对双色温灯具/双色温灯带开关控制，亮度调节，色温调节的功能。搭配具备网关功能的设备后，可以通过平台进行远程控制，设置定时控制，还可以与其他智能设备组合，实现更多联动控制的效果。一个智能调光模块（0-10V），可以同时最大支持20个双色温驱动器，起到多组灯具同开同关效果 | 个 | 5.0 | 15.0 | 30.0
13.0 |  | 智能灯带驱动模块 | 智能灯带驱动模块是⼀款可以控制LED灯带开关和调节LED灯带亮度、颜⾊或⾊温的产品。通过切换设备的模式，产品可以⽀持不同类型的灯带：：RGBW灯带，双色温灯带；智能灯带驱动模块需要搭配具备⽹关功能的产品使⽤，接⼊⽹关后，可以通过远程控制和调节LED灯带，设置定时控制，还可以与其他智能设备组合，实现更多联动控制的效果 | 个 | 2.0 | 3.0 | 7.0
14.0 | 传感器 | 人体传感器 | 人体传感器是一款检测热源物体运动的传感器，内置高精度的热释电红外传感器，可以感应人体、宠物的运动。同时具有光照度检测功能，可以检测环境光照度变暗。根据检测物体运动、环境光照度变暗做为自动化条件，联动网关或其他设备执行多种智能场景 | 个 | 2.0 | 4.0 | 6.0
15.0 |  | 高精度人体传感器 | 高精度人体传感器可吸顶安装，内置敏感探头、精密放大电路和高密度纹路的菲涅尔透镜，能够检测人体微小的移动，比如手臂挥动等小动作，实际情况根据实际场景以及产品安装角度不同而略有差异 | 个 | 8.0 | 20.0 | 45.0
16.0 |  | 智能存在传感器
（带适配器） | 智能存在传感器是一款精准检测空间内人体存在状态的传感器，结合毫米波雷达技术和先进的AI算法，具有空间背景学习、干扰源自识别、灵敏度自适应等特色功能。毫米波雷达技术解决了以往PIR人体传感器无法准确识别静态人体的问题 | 个 | 1.0 | 2.0 | 5.0
17.0 |  | 温湿度传感器 | 温湿度传感器是一款基于Zigbee3.0无线通信协议的温湿度传感器，可以检测周围环境的温度、湿度及大气压。搭配网关，可以实现情景联动、远程消息推送等功能 | 个 | 4.0 | 8.0 | 16.0
18.0 |  | 门窗传感器 | 门窗传感器是一款基于Zigbee3.0无线通信协议的门窗传感器，可以检测门、窗、抽屉、衣柜等物体的开合状态。搭配网关，可以实现情景联动、远程消息推送等功能 | 个 | 4.0 | 6.0 | 6.0
19.0 |  | 光照传感器 | 光照传感器是一款基于Zigbee3.0无线通信协议的光照传感器，可以检测一定范围内的环境光照变化，搭配网关，可以实现情景联动、远程推送消息等功能 | 个 | 2.0 | 3.0 | 8.0
20.0 | 用电管理 | 智能墙壁插座 | 智能墙壁插座是一款可以支持Zigbee3.0协议，具备智能控制，同时具备USB-A和Type-C两路输出供电的智能插座，与智能网关联网使用后，可以通过平台进行远程控制，可以设置多组定时控制，查看累计用电量，还可以与其他智能设备组合，实现更多联动控制的效果 | 个 | 2.0 | 3.0 | 4.0
21.0 | 智能温控 | VRF空调智控器 | VRF控制器是基于Zigbee无线协议的暖通控制器。它可以将多联式空调系统/新风系统/地暖系统接入到系统中，搭配具备网关功能的设备后，可以控制多联式空调/新风/地暖的开关，温度调节，模式切换，风速调节，搭配其他智能设备实现场景联动的功能 | 个 | 1.0 | 2.0 | 3.0
22.0 |  | 空调伴侣 | 空调伴侣是一款空调智能控制器，能够使普通空调智能化，当匹配码库后，即可远程控制空调，还可以配合各种传感器、无线开关实现联动控制空调也可以作为16A大功率智能插座使用，控制电源的通断。同时，它还具备Zigbee网关功能，可以管理和控制智能场景 | 个 | 1.0 | 2.0 | 3.0
23.0 |  | 温控器 | 面板式空调温控器适用于中央空调风机盘管系列、风管道系统或地暧。面板按键可通过控制空调系统末端的风机盘管、电动阀、电动球阀、电热变暖器或者风阀的开启 和关闭调节室内温度、调节风速 | 个 | 1.0 | 2.0 | 3.0
